,recommendationid,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,hidden_in_steam_china,steam_china_location,author.steamid,author.num_games_owned,author.num_reviews,author.playtime_forever,author.playtime_last_two_weeks,author.playtime_at_review,author.last_played
0,158566865,english,"A damn good game demonstrating a beautiful relationship between a father and his son. Kratos is not only a loving father, he teaches son of war how to fight adding a new element of love into the new god of war series, which i love.
Also my friend bet $50 i won't get 10 people who found this helpful, so help a man out would you?
",1708206529,1708206612,True,125,4,0.805395066738128662,0,True,False,False,True,,76561199337484291,0,7,701,287,220,1709805321
1,158095353,english,This game made me able to use Rage of Sparta irl thanks,1707671265,1707671265,True,31,11,0.729630351066589355,0,True,False,False,True,,76561198060450466,0,25,1302,174,723,1708849135
2,157983592,english,"don't know why i waited so long to play  this game, was brilliant  love  the story",1707555360,1707555360,True,16,1,0.667165756225585938,0,True,False,False,True,,76561198253640399,492,8,1500,0,1500,1707521216
3,159082256,english,Boy,1708715234,1708715234,True,11,6,0.6089743971824646,0,True,False,False,True,,76561199018345862,33,4,1610,0,1610,1708713828
4,159976147,english,sometimes you have no choice but to take that leap whether you are prepared or not because its necessary. seldom are we prepared for anything major in life. this game portrays just that .,1709739878,1709739878,True,13,0,0.606748461723327637,0,True,False,False,True,,76561197983277771,591,132,281,123,158,1709816753
5,159017230,english,"I always measure a video game by how it makes me feel after the sessions I spend playing through the game. Very rarely do I run into games where after I play, I not only crave for more of the experience, but I feel completely satisfied that my time was worth spending experiencing a game's world, lore, and characters. God of War (2018) is not just a video game, it is a cinematic experience that can seamlessly transition between video game and cinema.

The cinema aspect comes from the game's story about a father (Kratos) and his son (Atreus) and their journey to spread their mother's ashes on top of the highest peak in all the realms. It’s a story about parenting, and how Kratos and Atreus learn to become better people in wake of the mother’s passing. Kratos learns to become a better father for Atreus, and also for himself to be a bigger person than the murderous enraged wrecking ball he used to be in the previous games. Atreus learns to become a man through Kratos’s teachings and experience, slowly getting stronger and stronger as his learns from mistake after mistake. Kratos and Atreus’s personal journey is brilliantly contrasted by the game’s main antagonist, Baldur. For a great explanation on why Baldur is such a great villain in this game, I would recommend checking out this YouTube video by FatBrett. He makes great analysis videos on the characters within this game and its sequel, Ragnarok: https://www.youtube.com/watch?v=s9vSCABh1K8

Speaking of Kratos, this game is technically the 4th entry in the God of War series. Despite this, I went into this game without any knowledge of God of War, and I followed along with the story and characters easily. Halfway through the game, I realized that anyone could pick up this game and easily understand what was going on without any prior knowledge of Kratos or other characters. If that turned you off from picking up this game, I can assure you you’re only robbing yourself from an unforgettable experience by delaying your purchase of this game (No, this review isn’t sponsored).

The gameplay is akin to hack-and-slash RPGs such as the first two Kingdom Hearts games and Dark Souls, and gives the traditional hack-and-slash game genre a more cinematic flare with its dynamic camera angles and fluid controls. The game also has a great amount of optional exploration involved, where if you’re willing to sink even more hours into this game, you will be greatly rewarded with upgrades and weapons that’ll help you with late game enemies and bosses.

In my opinion, I would not classify this as a game. Rather, I’d classify God of War as an ‘experience’. It easily makes my Top 5 video games of all time, and I would highly recommend it to anyone interested in a single-player experience they’re willing to drown hours upon hours of time.",1708650235,1708650235,True,3,0,0.545454561710357666,0,True,False,False,True,,76561198847475285,96,26,2072,894,1066,1709514990
6,158747363,english,"Overall Masterpiece. Problem and puzzle solving intertwined with being an overall badass. 
Teaching and growing as a god, while having responsibility of Atreus. The cut scenes are stunning, combat is around the same level as the Witcher. I've always been a sucker for mythology and this game gives me the happi. I highly recommend this game if you want something to get lost in. It is very complex, such as upgrading skills, techniques and armor. It is open world so you can wander if need be. This game helped me. Enjoy",1708376063,1708376063,True,4,0,0.543396234512329102,0,True,False,False,True,,76561198370832511,13,4,1633,0,1484,1708386421
7,159410522,english,"I laughed, I cried, I coomed, I died. 10/10",1709060653,1709060653,True,2,0,0.541284441947937012,0,True,False,False,True,,76561198129609273,0,29,296,0,296,1680145998
8,158350751,english,"easily one of the best games of all time
the story is great, the combat is fun and never gets repetitive. my only complaint is after a certain point the combat gets rather easy, but that could probably be solved if i played on a higher difficulty",1707971275,1707971275,True,4,1,0.538715004920959473,0,True,False,False,True,,76561198280793499,744,27,1557,0,1555,1708041463
9,158260630,english,"Weakest God of War enjoyer:
⣿⣿⣿⣿⠟⠋⠁⠀⠀⠀⠀⠀⠀⠀⠀⠉⠻⣿⣿⣿⣿⣿
⣿⣿⣿⠁⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢺⣿⣿⣿⣿⣿
⣿⣿⣿⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠆⠜⣿⣿⣿⣿⣿
⠿⠿⠛⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠉⠻
⠀⠀⠀⠀⠀⣀⣠⣤⣤⣶⣶⣶⣶⣶⣦⣤⡄⠀⠀⠀⠀⢀
⠀⠀⠀⢠⣾⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⢿⡧⠇⢀⣤⣶
⣿⣿⣾⣮⣭⣿⡻⣽⣒⠀⣤⣜⣭⠐⢐⣒⠢⢰⢸⣿⣿
⣿⣿⣿⣏⣿⣿⣿⣿⣿⣿⡟⣾⣿⠂⢈⢿⣷⣞⣸⣿⣿
⣿⣿⣿⣿⣽⣿⣿⣷⣶⣾⡿⠿⣿⠗⠈⢻⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣿⣿⣿⣿⡿⠻⠋⠉⠑⠀⠀⢘⢻⣿⣿⣿⣿
⣿⣿⣿⡿⠟⢹⣿⣿⡇⢀⣶⣶⠴⠶⠀⠀⢽⣿⣿⣿⣿
⣿⣿⡿⠀⠀⢸⣿⣿⠀⠀⠣⠀⠀⠀⠀⠀⡟⢿⣿⣿⣿⣿
⠟⠋⠀⠀⠀⠀⠹⣿⣧⣀⠀⠀⠀⠀⡀⣴⠁⢘⡙⢿⣿⣿
⠀⠀⠀⠀⠀⠀⠀⠈⠙⢿⠗⠂⠄⠀⣴⡟⠀⠀⡃⠀⠉⠉
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢷⠾⠛⠂⢹⠀⠀⠀⢡⠀⠀⠀",1707861883,1707861883,True,4,1,0.537625432014465332,0,True,False,False,True,,76561199577328335,8,5,2554,1043,1097,1709185890
